frame,bb,face_id,face_detect_conf,tracking_conf,sex_label,sex_decision_function,avg_sex_decision_function,avg_sex_label
74,"(732, 6, 918, 192)",2,,18.668,f,-5.124,-6.520,f
75,"(61, 105, 289, 332)",0,0.999,24.555,f,-11.519,-9.679,f
75,"(948, -6, 1126, 171)",1,0.960,20.118,m,10.849,11.401,m
75,"(733, 5, 924, 197)",2,0.934,23.794,f,-6.988,-6.520,f
75,"(335, 165, 494, 324)",6,0.719,,f,-18.094,-19.131,f
76,"(61, 105, 288, 332)",0,,28.068,f,-11.450,-9.679,f
76,"(948, -6, 1125, 170)",1,,26.761,m,10.834,11.401,m
76,"(731, 9, 917, 195)",2,,21.177,f,-5.096,-6.520,f
76,"(336, 167, 494, 325)",6,,24.890,f,-17.504,-19.131,f
77,"(58, 103, 287, 333)",0,,24.648,f,-8.844,-9.679,f
77,"(947, -7, 1124, 169)",1,,25.589,m,10.586,11.401,m
77,"(731, 8, 922, 199)",2,,25.328,f,-7.569,-6.520,f
77,"(336, 168, 495, 327)",6,,24.519,f,-17.869,-19.131,f
78,"(59, 104, 285, 330)",0,,26.997,f,-9.948,-9.679,f
78,"(946, -7, 1123, 168)",1,,25.301,m,11.384,11.401,m
